Species	Woodiness
Acalypha langiana	herbaceous
Acalypha lepinei	woody
Acalypha macrostachya	woody
Acalypha mapirensis	woody
Acalypha nemorum	woody
Acalypha neptunica	woody
Acalypha nyasica	herbaceous
Acalypha ornata	woody
Acalypha ostryifolia	herbaceous
Acalypha paucifolia	herbaceous
Acalypha peduncularis	herbaceous
Acalypha phleoides	herbaceous
Acalypha polymorpha	herbaceous
Acalypha psilostachya	conflicting (herbaceous vs. woody)
Acalypha pub	not assigned
Acalypha pubiflora	woody
Acalypha racemosa	conflicting (herbaceous vs. woody)
Acalypha rhomboidea	herbaceous
Acalypha segetalis	herbaceous
Acalypha sharpdent	not assigned
Acalypha sharpub	not assigned
Acalypha skutchii	woody
Acalypha sonderiana	woody
Acalypha stachyura	woody
Acalypha villicaulis	herbaceous
Acalypha virginica	herbaceous
Acalypha welwitschiana	conflicting (herbaceous vs. woody)
Acalypha wilkesiana	woody
Acampe pachyglossa	herbaceous
Acampe papillosa	herbaceous
Acamptopappus shockleyi	conflicting (herbaceous vs. woody)
Acamptopappus sphaerocephalus	woody
Acanthephippium sylhetense	herbaceous
Acanthocarpus preissii	herbaceous
Acanthocereus occidentalis	woody
Acanthochiton wrightii	herbaceous
Acantholimon diapensioides	conflicting (herbaceous vs. woody)
Acantholippia seriphioides	woody
Acantholippia trifida	woody
Acanthonychia ramosissima	herbaceous
Acanthopanax divaricatus	woody
Acanthopanax gracilistylus	woody
Acanthopanax sciadophylloides	not assigned
Acanthopanax senticosus	woody
Acanthopanax sessiliflorum	woody
Acanthopanax sessiliflorus	woody
Acanthopanax sieboldianus	woody
Acanthopanax spinosus	woody
Acanthopsis disperma	herbaceous
Acanthosicyos horrida	woody
Acanthosicyos horridus	woody
Acanthosicyos naudinianus	herbaceous
Acanthospermum australe	herbaceous
Acanthospermum hispidum	herbaceous
Acanthosyris annonagustata	woody
Acanthosyris falcata	woody
Acanthosyris glabrata	woody
Acanthus hirsutus	herbaceous
Acanthus ilicifolius	conflicting (herbaceous vs. woody)
Acanthus latifolius	conflicting (herbaceous vs. woody)
Acanthus mollis	conflicting (herbaceous vs. woody)
Acanthus pallens	herbaceous
Acanthus pubescens	herbaceous
Acanthus spinosus	herbaceous
Acanthus syriacus	herbaceous
Acca sellowiana	woody
Accolacuarina rigida	not assigned
Acer acuminatum	woody
Acer albo-purpurascens	woody
Acer amoenum	woody
Acer argutum	woody
Acer barbatum	woody
Acer barbinerve	woody
Acer buergerianum	woody
Acer caesium	woody
Acer campbellii	woody
Acer campestre	woody
Acer capillipes	woody
Acer cappadocicum	woody
Acer carpinifolium	woody
Acer catalpifolium	woody
Acer caudatifolium	woody
Acer caudatum	woody
Acer circinatum	woody
Acer circinnatum	woody
Acer cissifolium	woody
Acer coriaceum	woody
Acer crataegifolium	woody
Acer cultratum	woody
Acer dasycarpum	woody
Acer davidii	woody
Acer decandrum	woody
Acer diabolicum	woody
Acer distylum	woody
Acer erianthum	woody
Acer flabellatum	woody
Acer floridanum	woody
Acer fraxinifolium	woody
Acer garrettii	woody
Acer ginnala	woody
Acer glabrum	woody
Acer granatense	woody
Acer grandidentatum	woody
Acer griseum	woody
Acer grosseri	woody
Acer heldreichii	woody
Acer henryi	woody
Acer hermoneum	woody
Acer hispanicum	woody
Acer hyrcanum	woody
Acer ibericum	woody
Acer japonicum	woody
Acer kawakamii	woody
Acer laevigatum	woody
Acer laurinum	woody
Acer laxiflorum	woody
Acer leucoderme	woody
Acer lobelii	woody
Acer longipes	woody
Acer lucidum	woody
Acer macrophyllum	woody
Acer mandshuricum	woody
Acer maximowiczianum	woody
Acer micranthum	woody
Acer miyabei	woody
Acer mono	woody
Acer monspessulanum	woody
Acer morrisonense	woody
Acer negundo	woody
Acer nigrum	woody
Acer nikoense	woody
Acer niveum	woody
Acer oblongum	woody
Acer obtusatum	woody
Acer obtusifolium	woody
Acer oliverianum	woody
Acer opalus	woody
Acer opulifolium	woody
Acer orientale	woody
Acer palmatum	woody
