Species	PFT
Acacia phlebocarpa	not assigned (shrub)
Acacia piligera	not assigned (shrub)
Acacia pilligaensis	not assigned (tree)
Acacia pinguiculosa	not assigned (shrub)
Acacia pinguifolia	not assigned (shrub)
Acacia platycarpa	not assigned (tree)
Acacia plectocarpa	not assigned (tree)
Acacia plicata	not assigned (tree)
Acacia podalyriaefolia	not assigned (tree)
Acacia podalyriifolia	not assigned (shrub/tree)
Acacia polybotrya	not assigned (tree)
Acacia polystachya	not assigned (tree)
Acacia prainii	not assigned (shrub/tree)
Acacia pravifolia	not assigned (shrub)
Acacia pravissima	not assigned (tree)
Acacia prominens	not assigned (tree)
Acacia provincialis	not assigned (shrub/tree)
Acacia pruinocarpa	not assigned (tree)
Acacia pruinosa	not assigned (tree)
Acacia ptychoclada	not assigned (shrub)
Acacia pubescens	not assigned (tree)
Acacia pubifolia	not assigned (tree)
Acacia pulchella	not assigned (shrub)
Acacia pusilla	not assigned (shrub)
Acacia pustula	not assigned (tree)
Acacia pycnantha	not assigned (tree)
Acacia pycnostachya	not assigned (tree)
Acacia pyrifolia	not assigned (tree)
Acacia quadrilateralis	not assigned (tree)
Acacia quadrimarginea	not assigned (tree)
Acacia quornensis	not assigned (tree)
Acacia racospermoides	not assigned (shrub/tree)
Acacia ramulosa	not assigned (shrub/tree)
Acacia repanda	not assigned (tree)
Acacia resinimarginea	not assigned (tree)
Acacia retinodes	not assigned (tree)
Acacia retivenea	not assigned (shrub)
Acacia rhetinocarpa	not assigned (shrub)
Acacia rhigiophylla	not assigned (shrub)
Acacia rhodophloia	not assigned (shrub/tree)
Acacia rhodoxylon	not assigned (tree)
Acacia riceana	not assigned (tree)
Acacia richii	not assigned (tree)
Acacia rigens	not assigned (shrub)
Acacia rossei	not assigned (tree)
Acacia rostellifera	not assigned (tree)
Acacia rothii	not assigned (tree)
Acacia rubida	not assigned (tree)
Acacia rupicola	not assigned (shrub)
Acacia ruppii	not assigned (shrub)
Acacia saliciformis	not assigned (tree)
Acacia salicina	not assigned (tree)
Acacia saligna	not assigned
Acacia schinoides	not assigned (tree)
Acacia scirpifolia	not assigned (shrub/tree)
Acacia sclerophylla	not assigned (tree)
Acacia sclerosperma	not assigned (tree)
Acacia semirigida	not assigned (tree)
Acacia sertiformis	not assigned (tree)
Acacia shirleyi	not assigned (tree)
Acacia sibilans	not assigned (tree)
Acacia sibirica	not assigned (shrub/tree)
Acacia siculiformis	not assigned (tree)
Acacia silvestris	not assigned (tree)
Acacia simmonsiana	not assigned (shrub)
Acacia simsii	not assigned (tree)
Acacia spectabilis	not assigned (tree)
Acacia spilleriana	not assigned (shrub)
Acacia spinescens	not assigned (shrub)
Acacia splendens	not assigned (shrub)
Acacia spondylophylla	not assigned (shrub)
Acacia spooneri	not assigned (shrub)
Acacia sporadica	not assigned (shrub)
Acacia squamata	not assigned (shrub)
Acacia startii	not assigned (shrub)
Acacia steedmanii	not assigned (shrub/tree)
Acacia stellaticeps	not assigned (shrub)
Acacia stenophylla	not assigned (tree)
Acacia stereophylla	not assigned (tree)
Acacia stipuligera	not assigned (tree)
Acacia stricta	not assigned (shrub/tree)
Acacia strongylophylla	not assigned (shrub)
Acacia suaveolens	not assigned (shrub)
Acacia subcaerulea	not assigned (shrub)
Acacia subporosa	not assigned (tree)
Acacia subracemosa	not assigned (shrub)
Acacia subtessarogona	not assigned (tree)
Acacia subtilinervis	not assigned (shrub)
Acacia subulata	not assigned (tree)
Acacia sulcata	not assigned (tree)
Acacia telmica	not assigned (tree)
Acacia tenuissima	not assigned (shrub)
Acacia terminalis	not assigned (shrub/tree)
Acacia tetragonophylla	not assigned (shrub)
Acacia tetraneura	not assigned (shrub)
Acacia toondulya	not assigned (tree)
Acacia torringtonensis	not assigned (tree)
Acacia torulosa	not assigned (tree)
Acacia trachycarpa	not assigned (tree)
Acacia trachyphloia	not assigned (tree)
Acacia trapezoidea	not assigned (shrub)
Acacia tratmaniana	not assigned (shrub)
Acacia trinervata	not assigned (tree)
Acacia trineura	not assigned (shrub)
Acacia triptera	not assigned (shrub)
Acacia triquetra	not assigned (shrub)
Acacia tropica	not assigned (shrub/tree)
Acacia truncata	not assigned (shrub)
Acacia tumida	not assigned (tree)
Acacia ulicifolia	not assigned
Acacia ulicina	not assigned (tree)
Acacia umbellata	not assigned (shrub/tree)
Acacia uncinata	not assigned (shrub)
Acacia undosa	not assigned (shrub)
Acacia undulifolia	not assigned (tree)
Acacia urophylla	not assigned (tree)
Acacia venulosa	not assigned (tree)
Acacia verniciflua	not assigned (shrub/tree)
Acacia veronica	not assigned (tree)
Acacia verticillata	not assigned (shrub/tree)
Acacia vestita	not assigned (tree)
Acacia victoriae	not assigned (shrub)
Acacia viscidula	not assigned (tree)
Acacia vittata	not assigned (tree)
Acacia wattsiana	not assigned (tree)
Acacia whibleyana	not assigned (tree)
Acacia wilhelmiana	not assigned (shrub)
Acacia williamsiana	not assigned (tree)
Acacia xiphophylla	not assigned (tree)
Acacia yorkrakinensis	not assigned (tree)
Acaciella angustissima	not assigned
Acaciella glauca	not assigned (legume?)
Acaena	forb
Acaena agnipila	forb
Acaena alpina	not assigned (shrub)
Acaena anserinifolia	forb
Acaena antarctica	forb
Acaena argentea	forb
Acaena caesiiglauca	forb
Acaena confertissima	not assigned ()
Acaena echinata	forb
Acaena fissistipula	forb
Acaena integerrima	forb
Acaena leptacantha	forb
Acaena lucida	forb
Acaena macrocephala	not assigned ()
Acaena magellanica	forb
Acaena novae-zelandiae	forb
Acaena ovalifolia	forb
Acaena ovina	forb
Acaena pallida	forb
Acaena pinnatifida	forb
Acaena platyacantha	not assigned ()
Acaena poeppigiana	not assigned ()
Acaena sericea	forb
Acaena splendens	forb
Acaena subnitens	not assigned ()
Acaena tehuelcha	not assigned ()
Acaena tenera	forb
Acaena trifida	not assigned ()
Acalypha	not assigned ()
Acalypha acrogyna	not assigned (shrub)
Acalypha allenii	forb
Acalypha ambigua	forb
Acalypha argentii	not assigned ()
Acalypha arvensis	forb
Acalypha australis	forb
Acalypha bipartita	not assigned (shrub)
Acalypha brachystachya	forb
Acalypha caperonioides	forb
Acalypha caturus	not assigned (tree)
Acalypha chirindica	not assigned (shrub/tree)
Acalypha ciliata	forb
Acalypha cincta	not assigned (shrub)
Acalypha claoxyloides	not assigned (shrub)
Acalypha clutioides	not assigned (shrub/tree)
Acalypha communis	forb
Acalypha crenata	not assigned (herb/shrub)
Acalypha cuneata	not assigned ()
Acalypha decaryana	not assigned ()
Acalypha dikuluwensis	not assigned (shrub/tree)
Acalypha diversifolia	not assigned (shrub)
Acalypha filipes	forb
Acalypha fimbriata	forb
Acalypha fruticosa	not assigned (shrub)
Acalypha fuscescens	forb
Acalypha glabrata	not assigned (shrub/tree)
Acalypha grandis	not assigned (shrub/tree)
Acalypha havanensis	forb
Acalypha hispida	not assigned (shrub)
Acalypha indica	forb
Acalypha lanceolata	not assigned (herb/shrub)
Acalypha langiana	forb
Acalypha lepinei	not assigned (shrub)
Acalypha macrostachya	not assigned (tree)
Acalypha nemorum	not assigned (shrub)
Acalypha neptunica	not assigned (shrub/tree)
Acalypha nyasica	forb
Acalypha ornata	not assigned (shrub)
Acalypha ostryifolia	forb
Acalypha paucifolia	forb
Acalypha peduncularis	forb
Acalypha petiolaris	forb
Acalypha phleoides	forb
Acalypha polymorpha	forb
Acalypha psilostachya	not assigned (herb/shrub)
Acalypha pubiflora	not assigned (shrub)
Acalypha racemosa	not assigned (herb/shrub)
Acalypha rhomboidea	forb
Acalypha segetalis	forb
Acalypha skutchii	not assigned (shrub/tree)
Acalypha sonderiana	not assigned (shrub)
Acalypha spiciflora	not assigned (tree)
Acalypha stachyura	not assigned (tree)
Acalypha stricta	not assigned (tree)
Acalypha virginica	forb
Acalypha welwitschiana	not assigned (herb/shrub)
Acalypha wilkesiana	not assigned (shrub)
Acampe pachyglossa	forb
Acampe praemorsa	forb
Acamptopappus shockleyi	not assigned (herb/shrub)
Acamptopappus sphaerocephalus	not assigned (shrub)
Acanthaceae	forb
Acanthephippium sylhetense	forb
Acanthocalycium leucanthum	forb
Acanthocarpus preissii	forb
Acanthocereus cuixmalensis	not assigned ()
Acanthocereus rosei	not assigned ()
Acanthocereus tetragonus	not assigned
Acanthocladus scleroxylon	not assigned (tree)
Acantholimon diapensioides	not assigned (herb/shrub)
Acantholippia seriphioides	not assigned (shrub)
Acanthopsis disperma	forb
Acanthosicyos horridus	not assigned (shrub)
Acanthospermum australe	forb
Acanthospermum hispidum	forb
Acanthostyles buniifolius	not assigned (shrub)
Acanthosyris annonagustata	not assigned (tree)
Acanthosyris falcata	not assigned (tree)
Acanthosyris glabrata	not assigned
Acanthus	forb
Acanthus hirsutus	forb
Acanthus ilicifolius	not assigned (herb/shrub)
Acanthus mollis	not assigned (herb/shrub)
Acanthus pubescens	forb
Acanthus spinosus	forb
Acaulimalva acaulis	forb
Accolacuarina rigida	not assigned ()
Acer	not assigned (tree)
Acer acuminatum	not assigned (tree)
Acer amplum	not assigned (tree)
Acer argutum	not assigned (tree)
Acer barbatum	not assigned (tree)
Acer barbinerve	not assigned (tree)
Acer buergerianum	not assigned (shrub/tree)
Acer caesium	not assigned (tree)
Acer campbellii	not assigned (tree)
Acer campestre	not assigned (tree)
Acer capillipes	not assigned (tree)
Acer cappadocicum	not assigned (tree)
Acer carpinifolium	not assigned (tree)
Acer caudatifolium	not assigned (tree)
Acer caudatum	not assigned (tree)
Acer circinatum	not assigned
Acer cissifolium	not assigned (tree)
